CleansedReadCode,Term,Disease,SnomedCTConceptId
K0A0100,"Acute nephritic syndrome, focal+segmental glomerular lesions",Chronic Kidney Disease,197682007
K0A0200,"Acute nephritic syn, diffuse membranous glomerulonephritis",Chronic Kidney Disease,197683002
K0A0300,"Acut neph syn, diffuse mesangial prolifrative glomnephritis",Chronic Kidney Disease,197684008
K0A0400,Ac neph syn difus endocaplry prolifrative glomerulonephritis,Chronic Kidney Disease,197685009
K0A0500,"Acute neph syn, diffuse mesangiocapillary glomerulonephritis",Chronic Kidney Disease,197686005
K0A0700,Acute nephrotic syndrm diffuse crescentic glomerulonephritis,Chronic Kidney Disease,197688006
Kyu0300,[X]Glomerular disorders in diabetes mellitus,Chronic Kidney Disease,309426007
Kyu0900,"[X]Unsp nephrit synd, diff mesang prolif glomerulonephritis",Chronic Kidney Disease,197679002
Kyu1.00,[X]Renal tubulo-interstitial diseases,Chronic Kidney Disease,28689008
Kyu1000,[X]Other chronic tubulo-interstitial nephritis,Chronic Kidney Disease,60926001
Kyu1400,[X]Nephropathy induced by other drugs+biological substances,Chronic Kidney Disease,28689008
Kyu1C00,[X]Renal tubulo-interstitial disorders/transplant rejection,Chronic Kidney Disease,197747000
Kyu2100,[X]Other chronic renal failure,Chronic Kidney Disease,90688005
Kyu4000,[X]Other disorders resulting/impaired renal tubular function,Chronic Kidney Disease,236437007
SP05613,[X] Peritoneal dialysis associated peritonitis,Chronic Kidney Disease,276883000
TA02000,"Accid cut,puncture,perf,h'ge - kidney dialysis",Chronic Kidney Disease,216878005
U612200,[X]Failure sterile precautions dur kidney dialys/other perf,Chronic Kidney Disease,216933008
ZV45100,[V]Renal dialysis status,Chronic Kidney Disease,251859005
ZV56.00,[V]Aftercare involving intermittent dialysis,Chronic Kidney Disease,398471000000102
ZV56011,[V]Aftercare involving renal dialysis NOS,Chronic Kidney Disease,410511000000103
ZV56100,[V]Preparatory care for dialysis,Chronic Kidney Disease,398481000000100
ZV56y00,[V]Other specified aftercare involving intermittent dialysis,Chronic Kidney Disease,426351000000102
ZV56y11,[V]Aftercare involving peritoneal dialysis,Chronic Kidney Disease,426351000000102
ZV56z00,[V]Unspecified aftercare involving intermittent dialysis,Chronic Kidney Disease,426361000000104
ZVu3G00,[X]Other dialysis,Chronic Kidney Disease,467521000000106
Gyu9400,[X]Oesophageal varices in diseases classified elsewhere,Chronic Liver disease And Viral hepatitis,28670008
J63X.00,"Granulomatous hepatitis, not elsewhere classified",Chronic Liver disease And Viral hepatitis,86514004
J63y100,Nonspecific reactive hepatitis,Chronic Liver disease And Viral hepatitis,235858002
Jyu7100,[X]Other and unspecified cirrhosis of liver,Chronic Liver disease And Viral hepatitis,19943007
Q48yz11,Congenital hepatic fibrosis,Chronic Liver disease And Viral hepatitis,79607001
ZV02600,[V]Viral hepatitis carrier,Chronic Liver disease And Viral hepatitis,170489004
ZV02B00,[V]Hepatitis B carrier,Chronic Liver disease And Viral hepatitis,235871004
ZV02C00,[V]Hepatitis C carrier,Chronic Liver disease And Viral hepatitis,235872006
G85..11,Oesophageal varices,Chronic Liver disease And Viral hepatitis,28670008
C376100,Alpha-1-antitrypsin hepatitis,Chronic Liver disease And Viral hepatitis,190944000
C350012,Pigmentary cirrhosis of liver,Chronic Liver disease And Viral hepatitis,399126000
C310400,Glycogenosis with hepatic cirrhosis,Chronic Liver disease And Viral hepatitis,29633007
A707100,Chronic viral hepatitis B without delta-agent,Chronic Liver disease And Viral hepatitis,186639003
A707000,Chronic viral hepatitis B with delta-agent,Chronic Liver disease And Viral hepatitis,235869004
A707.00,Chronic viral hepatitis,Chronic Liver disease And Viral hepatitis,10295004
A705000,Viral hepatitis C without mention of hepatic coma,Chronic Liver disease And Viral hepatitis,50711007
A704000,Viral hepatitis C with coma,Chronic Liver disease And Viral hepatitis,186628001
A703.00,Viral (serum) hepatitis B,Chronic Liver disease And Viral hepatitis,66071002
A702.00,Viral hepatitis B with coma,Chronic Liver disease And Viral hepatitis,26206000
9NgR.00,On hepatitis C treatment plan,Chronic Liver disease And Viral hepatitis,829731000000106
J616200,Biliary cirrhosis of children,Chronic Liver disease And Viral hepatitis,197310003
65Q7.00,Viral hepatitis carrier,Chronic Liver disease And Viral hepatitis,170489004
141E.00,History of hepatitis B,Chronic Liver disease And Viral hepatitis,429721005
J61y300,Portal fibrosis without cirrhosis,Chronic Liver disease And Viral hepatitis,197316009
J61y.00,Other non-alcoholic chronic liver disease,Chronic Liver disease And Viral hepatitis,79720007
J616z00,Biliary cirrhosis NOS,Chronic Liver disease And Viral hepatitis,1761006
J616100,Secondary biliary cirrhosis,Chronic Liver disease And Viral hepatitis,12368000
J616000,Primary biliary cirrhosis,Chronic Liver disease And Viral hepatitis,31712002
J616.00,Biliary cirrhosis,Chronic Liver disease And Viral hepatitis,1761006
J615z13,Cirrhosis of liver NOS,Chronic Liver disease And Viral hepatitis,19943007
J615z12,Cryptogenic cirrhosis of liver,Chronic Liver disease And Viral hepatitis,89580002
J615z11,Macronodular cirrhosis of liver,Chronic Liver disease And Viral hepatitis,43904005
J615z00,Non-alcoholic cirrhosis NOS,Chronic Liver disease And Viral hepatitis,266468003
J615y00,Portal cirrhosis unspecified,Chronic Liver disease And Viral hepatitis,419728003
J615H00,Infectious cirrhosis NOS,Chronic Liver disease And Viral hepatitis,235896001
J615D00,Bacterial portal cirrhosis,Chronic Liver disease And Viral hepatitis,197303009
J615C00,Xanthomatous portal cirrhosis,Chronic Liver disease And Viral hepatitis,271440004
J615812,Indian childhood cirrhosis,Chronic Liver disease And Viral hepatitis,6183001
J615800,Juvenile portal cirrhosis,Chronic Liver disease And Viral hepatitis,266471006
J615700,Cardiac portal cirrhosis,Chronic Liver disease And Viral hepatitis,266470007
J615600,Capsular portal cirrhosis,Chronic Liver disease And Viral hepatitis,197296006
J615500,Hypertrophic portal cirrhosis,Chronic Liver disease And Viral hepatitis,43904005
J615400,Fatty portal cirrhosis,Chronic Liver disease And Viral hepatitis,197294009
J615300,Diffuse nodular cirrhosis,Chronic Liver disease And Viral hepatitis,197293003
J615100,Multilobular portal cirrhosis,Chronic Liver disease And Viral hepatitis,266469006
J615.11,Portal cirrhosis,Chronic Liver disease And Viral hepatitis,419728003
J614z00,Chronic hepatitis NOS,Chronic Liver disease And Viral hepatitis,76783007
J614y00,Chronic hepatitis unspecified,Chronic Liver disease And Viral hepatitis,76783007
J614400,Chronic lobular hepatitis,Chronic Liver disease And Viral hepatitis,57339008
J614300,Recurrent hepatitis,Chronic Liver disease And Viral hepatitis,197286002
J614200,Chronic aggressive hepatitis,Chronic Liver disease And Viral hepatitis,197284004
J614111,Autoimmune chronic active hepatitis,Chronic Liver disease And Viral hepatitis,197284004
J614100,Chronic active hepatitis,Chronic Liver disease And Viral hepatitis,197284004
J614000,Chronic persistent hepatitis,Chronic Liver disease And Viral hepatitis,41889008
J614.00,Chronic hepatitis,Chronic Liver disease And Viral hepatitis,76783007
J612.11,Florid cirrhosis,Chronic Liver disease And Viral hepatitis,76301009
J61..00,Cirrhosis and chronic liver disease,Chronic Liver disease And Viral hepatitis,197279005
J601200,Subacute yellow atrophy,Chronic Liver disease And Viral hepatitis,197276003
J600200,Acute yellow atrophy,Chronic Liver disease And Viral hepatitis,197269008
G858.00,Oesophageal varices NOS,Chronic Liver disease And Viral hepatitis,28670008
G857.00,Gastric varices,Chronic Liver disease And Viral hepatitis,91109007
G852z00,Oesophageal varices in diseases EC NOS,Chronic Liver disease And Viral hepatitis,195474004
G851.00,Oesophageal varices without bleeding,Chronic Liver disease And Viral hepatitis,14223005
G852200,Oesophageal varices in cirrhosis of the liver,Chronic Liver disease And Viral hepatitis,308129003
G852100,Oesophageal varices without bleeding in diseases EC,Chronic Liver disease And Viral hepatitis,195476002
G852000,Oesophageal varices with bleeding in diseases EC,Chronic Liver disease And Viral hepatitis,195475003
G852.00,Oesophageal varices in diseases EC,Chronic Liver disease And Viral hepatitis,195474004
G850.00,Oesophageal varices with bleeding,Chronic Liver disease And Viral hepatitis,17709002
J61y400,Hepatic fibrosis,Chronic Liver disease And Viral hepatitis,62484002
J61y500,Hepatic sclerosis,Chronic Liver disease And Viral hepatitis,235899008
J61y600,Hepatic fibrosis with hepatic sclerosis,Chronic Liver disease And Viral hepatitis,235901004
J61y800,Nonalcoholic steatohepatitis,Chronic Liver disease And Viral hepatitis,442685003
J61yz00,Other non-alcoholic chronic liver disease NOS,Chronic Liver disease And Viral hepatitis,328383001
J61z.00,Chronic liver disease NOS,Chronic Liver disease And Viral hepatitis,328383001
J62..00,Liver abscess and sequelae of chronic liver disease,Chronic Liver disease And Viral hepatitis,197324004
J623.00,Portal hypertension,Chronic Liver disease And Viral hepatitis,34742003
J62y.00,Other sequelae of chronic liver disease,Chronic Liver disease And Viral hepatitis,235856003
J62z.00,Liver abscess and chronic liver disease causing sequelae NOS,Chronic Liver disease And Viral hepatitis,197324004
J630.00,Chronic passive liver congestion,Chronic Liver disease And Viral hepatitis,34736002
J631.00,Hepatitis in viral diseases EC,Chronic Liver disease And Viral hepatitis,3738000
J635300,Toxic liver disease with chronic persistent hepatitis,Chronic Liver disease And Viral hepatitis,197359004
J635400,Toxic liver disease with chronic lobular hepatitis,Chronic Liver disease And Viral hepatitis,197360009
J635500,Toxic liver disease with chronic active hepatitis,Chronic Liver disease And Viral hepatitis,197361008
J635600,Toxic liver disease with fibrosis and cirrhosis of liver,Chronic Liver disease And Viral hepatitis,197362001
J63B.00,Autoimmune hepatitis,Chronic Liver disease And Viral hepatitis,408335007
H130.00,Chronic maxillary sinusitis,Chronic Sinusitis,35923002
H130.12,Maxillary sinusitis,Chronic Sinusitis,88348008
H131.00,Chronic frontal sinusitis,Chronic Sinusitis,60130002
H131.11,Frontal sinusitis,Chronic Sinusitis,78737005
H132.00,Chronic ethmoidal sinusitis,Chronic Sinusitis,73237007
H133.00,Chronic sphenoidal sinusitis,Chronic Sinusitis,38961000
H135.00,Recurrent sinusitis,Chronic Sinusitis,195788001
H13y.00,Other chronic sinusitis,Chronic Sinusitis,40055000
H13y000,Chronic pansinusitis,Chronic Sinusitis,88850006
H13y100,Pansinusitis,Chronic Sinusitis,195790000
H13z.00,Chronic sinusitis NOS,Chronic Sinusitis,40055000
Hyu2200,[X]Other chronic sinusitis,Chronic Sinusitis,40055000
H13yz00,Other chronic sinusitis NOS,Chronic Sinusitis,40055000
H01..11,Sinusitis,Chronic Sinusitis,36971009
H13..00,Chronic sinusitis,Chronic Sinusitis,40055000
J690.15,Steatorrhea - idiopathic,Coeliac Disease,66187002
J690z00,Coeliac disease NOS,Coeliac Disease,396331005
J690100,Acquired coeliac disease,Coeliac Disease,197479008
J690000,Congenital coeliac disease,Coeliac Disease,197478000
J690.14,Sprue - nontropical,Coeliac Disease,396331005
J690.13,Gluten enteropathy,Coeliac Disease,396331005
J690.11,Coeliac rickets,Coeliac Disease,275404008
J690.00,Coeliac disease,Coeliac Disease,396331005
9mB1.00,Coeliac disease monitoring invitation first letter,Coeliac Disease,752301000000106
8IAp.00,Coeliac disease annual review declined,Coeliac Disease,750911000000105
J578.00,Colonic polyp,Colonic polyp,68496003
771G400,Colonoscopic polypectomy,Colonic polyp,311774002
Hyu3100,[X]Other specified chronic obstructive pulmonary disease,Chronic Obstructive Pulmonary Disease (COPD),13645005
H31y100,Chronic tracheobronchitis,Chronic Obstructive Pulmonary Disease (COPD),52571006
H31y000,Chronic tracheitis,Chronic Obstructive Pulmonary Disease (COPD),7457009
H31yz00,Other chronic bronchitis NOS,Chronic Obstructive Pulmonary Disease (COPD),63480004
H31y.00,Other chronic bronchitis,Chronic Obstructive Pulmonary Disease (COPD),63480004
H313.00,Mixed simple and mucopurulent chronic bronchitis,Chronic Obstructive Pulmonary Disease (COPD),195953005
H312z00,Obstructive chronic bronchitis NOS,Chronic Obstructive Pulmonary Disease (COPD),185086009
H312300,Bronchiolitis obliterans,Chronic Obstructive Pulmonary Disease (COPD),40100001
H312200,Acute exacerbation of chronic obstructive airways disease,Chronic Obstructive Pulmonary Disease (COPD),195951007
H312100,Emphysematous bronchitis,Chronic Obstructive Pulmonary Disease (COPD),185086009
H312011,Chronic wheezy bronchitis,Chronic Obstructive Pulmonary Disease (COPD),195949008
H312.00,Obstructive chronic bronchitis,Chronic Obstructive Pulmonary Disease (COPD),185086009
H311z00,Mucopurulent chronic bronchitis NOS,Chronic Obstructive Pulmonary Disease (COPD),74417001
H311000,Purulent chronic bronchitis,Chronic Obstructive Pulmonary Disease (COPD),84409004
H311.00,Mucopurulent chronic bronchitis,Chronic Obstructive Pulmonary Disease (COPD),74417001
H310z00,Simple chronic bronchitis NOS,Chronic Obstructive Pulmonary Disease (COPD),61937009
H310100,Smokers' cough,Chronic Obstructive Pulmonary Disease (COPD),46802002
H310000,Chronic catarrhal bronchitis,Chronic Obstructive Pulmonary Disease (COPD),89549007
H310.00,Simple chronic bronchitis,Chronic Obstructive Pulmonary Disease (COPD),61937009
H31..00,Chronic bronchitis,Chronic Obstructive Pulmonary Disease (COPD),63480004
H311100,Fetid chronic bronchitis,Chronic Obstructive Pulmonary Disease (COPD),84409004
H3...00,Chronic obstructive pulmonary disease,Chronic Obstructive Pulmonary Disease (COPD),13645005
14OX.00,At risk of chronic obstructive pulmonary diseas exacerbation,Chronic Obstructive Pulmonary Disease (COPD),383611000000102
H39..00,Very severe chronic obstructive pulmonary disease,Chronic Obstructive Pulmonary Disease (COPD),293991000000106
H3A..00,End stage chronic obstructive airways disease,Chronic Obstructive Pulmonary Disease (COPD),135836000
H320300,Bullous emphysema with collapse,Chronic Obstructive Pulmonary Disease (COPD),266355005
H3y..00,Other specified chronic obstructive airways disease,Chronic Obstructive Pulmonary Disease (COPD),13645005
H3y..11,Other specified chronic obstructive pulmonary disease,Chronic Obstructive Pulmonary Disease (COPD),13645005
H3...11,Chronic obstructive airways disease,Chronic Obstructive Pulmonary Disease (COPD),13645005
H3z..00,Chronic obstructive airways disease NOS,Chronic Obstructive Pulmonary Disease (COPD),13645005
H3z..11,Chronic obstructive pulmonary disease NOS,Chronic Obstructive Pulmonary Disease (COPD),13645005
H464100,Obliterative bronchiolitis due to chemical fumes,Chronic Obstructive Pulmonary Disease (COPD),196027008
H464000,Chronic emphysema due to chemical fumes,Chronic Obstructive Pulmonary Disease (COPD),196026004
H583200,Eosinophilic bronchitis,Chronic Obstructive Pulmonary Disease (COPD),866901000000103
Hyu3000,[X]Other emphysema,Chronic Obstructive Pulmonary Disease (COPD),87433001
H31z.00,Chronic bronchitis NOS,Chronic Obstructive Pulmonary Disease (COPD),63480004
H320200,Giant bullous emphysema,Chronic Obstructive Pulmonary Disease (COPD),16003001
H320100,Zonal bullous emphysema,Chronic Obstructive Pulmonary Disease (COPD),195959009
H320000,Segmental bullous emphysema,Chronic Obstructive Pulmonary Disease (COPD),195958001
H320.00,Chronic bullous emphysema,Chronic Obstructive Pulmonary Disease (COPD),195957006
H320z00,Chronic bullous emphysema NOS,Chronic Obstructive Pulmonary Disease (COPD),195957006
H321.00,Panlobular emphysema,Chronic Obstructive Pulmonary Disease (COPD),4981000
H322.00,Centrilobular emphysema,Chronic Obstructive Pulmonary Disease (COPD),68328006
H32y.00,Other emphysema,Chronic Obstructive Pulmonary Disease (COPD),87433001
H32y000,Acute vesicular emphysema,Chronic Obstructive Pulmonary Disease (COPD),195963002
H32y100,Atrophic (senile) emphysema,Chronic Obstructive Pulmonary Disease (COPD),266356006
H32y111,Acute interstitial emphysema,Chronic Obstructive Pulmonary Disease (COPD),77690003
H32y200,MacLeod's unilateral emphysema,Chronic Obstructive Pulmonary Disease (COPD),45145000
H32yz00,Other emphysema NOS,Chronic Obstructive Pulmonary Disease (COPD),87433001
H32z.00,Emphysema NOS,Chronic Obstructive Pulmonary Disease (COPD),87433001
H36..00,Mild chronic obstructive pulmonary disease,Chronic Obstructive Pulmonary Disease (COPD),313296004
H37..00,Moderate chronic obstructive pulmonary disease,Chronic Obstructive Pulmonary Disease (COPD),313297008
H38..00,Severe chronic obstructive pulmonary disease,Chronic Obstructive Pulmonary Disease (COPD),313299006
G33z000,Status anginosus,Coronary Heart Disease,19057007
G33z100,Stenocardia,Coronary Heart Disease,194828000
G33z200,Syncope anginosa,Coronary Heart Disease,21470009
G33z300,Angina on effort,Coronary Heart Disease,300995000
G33z400,Ischaemic chest pain,Coronary Heart Disease,225566008
G33z500,Post infarct angina,Coronary Heart Disease,314116003
G33z600,New onset angina,Coronary Heart Disease,233821000
G33z700,Stable angina,Coronary Heart Disease,233819005
G33zz00,Angina pectoris NOS,Coronary Heart Disease,194828000
G34..00,Other chronic ischaemic heart disease,Coronary Heart Disease,413838009
G340.00,Coronary atherosclerosis,Coronary Heart Disease,443502000
G340.11,Triple vessel disease of the heart,Coronary Heart Disease,233817007
G340.12,Coronary artery disease,Coronary Heart Disease,53741008
G340000,Single coronary vessel disease,Coronary Heart Disease,194842008
G340100,Double coronary vessel disease,Coronary Heart Disease,194843003
G341.00,Aneurysm of heart,Coronary Heart Disease,65340007
G341.11,Cardiac aneurysm,Coronary Heart Disease,65340007
G341000,Ventricular cardiac aneurysm,Coronary Heart Disease,90539001
G341100,Other cardiac wall aneurysm,Coronary Heart Disease,65340007
G341111,Mural cardiac aneurysm,Coronary Heart Disease,275511009
G341200,Aneurysm of coronary vessels,Coronary Heart Disease,50570003
G341300,Acquired atrioventricular fistula of heart,Coronary Heart Disease,194845005
G341z00,Aneurysm of heart NOS,Coronary Heart Disease,65340007
G343.00,Ischaemic cardiomyopathy,Coronary Heart Disease,194849004
G344.00,Silent myocardial ischaemia,Coronary Heart Disease,233823002
G34y.00,Other specified chronic ischaemic heart disease,Coronary Heart Disease,413838009
G34y000,Chronic coronary insufficiency,Coronary Heart Disease,413844008
G34y100,Chronic myocardial ischaemia,Coronary Heart Disease,413844008
G34yz00,Other specified chronic ischaemic heart disease NOS,Coronary Heart Disease,413838009
G34z.00,Other chronic ischaemic heart disease NOS,Coronary Heart Disease,413838009
G34z000,Asymptomatic coronary heart disease,Coronary Heart Disease,315348000
G35..00,Subsequent myocardial infarction,Coronary Heart Disease,194856005
G350.00,Subsequent myocardial infarction of anterior wall,Coronary Heart Disease,194857001
G351.00,Subsequent myocardial infarction of inferior wall,Coronary Heart Disease,194858006
G353.00,Subsequent myocardial infarction of other sites,Coronary Heart Disease,194856005
G35X.00,Subsequent myocardial infarction of unspecified site,Coronary Heart Disease,194856005
G361.00,Atrial septal defect/curr comp folow acut myocardal infarct,Coronary Heart Disease,194863005
G363.00,Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI,Coronary Heart Disease,194865003
G37..00,Cardiac syndrome X,Coronary Heart Disease,233845001
G38..00,Postoperative myocardial infarction,Coronary Heart Disease,129574000
G380.00,Postoperative transmural myocardial infarction anterior wall,Coronary Heart Disease,311792005
G384.00,Postoperative subendocardial myocardial infarction,Coronary Heart Disease,311796008
G38z.00,"Postoperative myocardial infarction, unspecified",Coronary Heart Disease,129574000
G3y..00,Other specified ischaemic heart disease,Coronary Heart Disease,414545008
G3z..00,Ischaemic heart disease NOS,Coronary Heart Disease,414545008
G501.00,Post infarction pericarditis,Coronary Heart Disease,233885007
Gyu3000,[X]Other forms of angina pectoris,Coronary Heart Disease,194828000
Gyu3400,[X]Acute transmural myocardial infarction of unspecif site,Coronary Heart Disease,57054005
Gyu3500,[X]Subsequent myocardial infarction of other sites,Coronary Heart Disease,194856005
Gyu3600,[X]Subsequent myocardial infarction of unspecified site,Coronary Heart Disease,194856005
SP07600,Coronary artery bypass graft occlusion,Coronary Heart Disease,408546009
ZV45700,[V]Presence of aortocoronary bypass graft,Coronary Heart Disease,469031000000107
ZV45800,[V]Presence of coronary angioplasty implant and graft,Coronary Heart Disease,428375006
ZV45K00,[V]Presence of coronary artery bypass graft,Coronary Heart Disease,469611000000108
ZV45K11,[V]Presence of coronary artery bypass graft - CABG,Coronary Heart Disease,469611000000108
ZV45L00,[V]Status following coronary angioplasty NOS,Coronary Heart Disease,398651000000109
G366.00,"Thrombosis atrium,auric append&vent/curr comp foll acute MI",Coronary Heart Disease,194868001
792..00,Coronary artery operations,Coronary Heart Disease,31413008
792..11,Coronary artery bypass graft operations,Coronary Heart Disease,232717009
7920y00,Saphenous vein graft replacement of coronary artery OS,Coronary Heart Disease,3546002
7920z00,Saphenous vein graft replacement coronary artery NOS,Coronary Heart Disease,3546002
7921y00,Other autograft replacement of coronary artery OS,Coronary Heart Disease,232717009
7921z00,Other autograft replacement of coronary artery NOS,Coronary Heart Disease,232717009
7922y00,Other specified allograft replacement of coronary artery,Coronary Heart Disease,175021005
7922z00,Allograft replacement of coronary artery NOS,Coronary Heart Disease,175021005
7923z00,Prosthetic replacement of coronary artery NOS,Coronary Heart Disease,175029007
7924y00,Other specified revision of bypass for coronary artery,Coronary Heart Disease,175036008
7924z00,Revision of bypass for coronary artery NOS,Coronary Heart Disease,175036008
7925z00,Connection of mammary artery to coronary artery NOS,Coronary Heart Disease,175045009
7926z00,Connection of other thoracic artery to coronary artery NOS,Coronary Heart Disease,232717009
7927y00,Other specified other open operation on coronary artery,Coronary Heart Disease,31413008
7927z00,Other open operation on coronary artery NOS,Coronary Heart Disease,31413008
7928y00,Transluminal balloon angioplasty of coronary artery OS,Coronary Heart Disease,11101003
7928z00,Transluminal balloon angioplasty of coronary artery NOS,Coronary Heart Disease,11101003
7929y00,Other therapeutic transluminal op on coronary artery OS,Coronary Heart Disease,31413008
792A.00,Diagnostic transluminal operations on coronary artery,Coronary Heart Disease,175076003
792Ay00,Diagnostic transluminal operation on coronary artery OS,Coronary Heart Disease,175076003
792Az00,Diagnostic transluminal operation on coronary artery NOS,Coronary Heart Disease,175076003
792B.00,Repair of coronary artery NEC,Coronary Heart Disease,31413008
792B000,Endarterectomy of coronary artery NEC,Coronary Heart Disease,20738002
792By00,Other specified repair of coronary artery,Coronary Heart Disease,31413008
792Bz00,Repair of coronary artery NOS,Coronary Heart Disease,31413008
792C.00,Other replacement of coronary artery,Coronary Heart Disease,232717009
792C000,Replacement of coronary arteries using multiple methods,Coronary Heart Disease,175085003
792Cy00,Other specified replacement of coronary artery,Coronary Heart Disease,232717009
792Cz00,Replacement of coronary artery NOS,Coronary Heart Disease,232717009
792D.00,Other bypass of coronary artery,Coronary Heart Disease,232717009
792Dy00,Other specified other bypass of coronary artery,Coronary Heart Disease,232717009
792Dz00,Other bypass of coronary artery NOS,Coronary Heart Disease,232717009
792y.00,Other specified operations on coronary artery,Coronary Heart Disease,31413008
792z.00,Coronary artery operations NOS,Coronary Heart Disease,31413008
7A6H400,Percutaneous transluminal angioplasty of vascular graft,Coronary Heart Disease,312611005
G3...00,Ischaemic heart disease,Coronary Heart Disease,414545008
G3...13,IHD - Ischaemic heart disease,Coronary Heart Disease,414545008
G30..00,Acute myocardial infarction,Coronary Heart Disease,57054005
G30..12,Coronary thrombosis,Coronary Heart Disease,398274000
G30..13,Cardiac rupture following myocardial infarction (MI),Coronary Heart Disease,233847009
G30..14,Heart attack,Coronary Heart Disease,22298006
G30..16,Thrombosis - coronary,Coronary Heart Disease,398274000
G30..17,Silent myocardial infarction,Coronary Heart Disease,233843008
G300.00,Acute anterolateral infarction,Coronary Heart Disease,70211005
G301.00,Other specified anterior myocardial infarction,Coronary Heart Disease,54329005
G301000,Acute anteroapical infarction,Coronary Heart Disease,52035003
G301z00,Anterior myocardial infarction NOS,Coronary Heart Disease,54329005
G303.00,Acute inferoposterior infarction,Coronary Heart Disease,76593002
G304.00,Posterior myocardial infarction NOS,Coronary Heart Disease,233838001
G305.00,Lateral myocardial infarction NOS,Coronary Heart Disease,58612006
G306.00,True posterior myocardial infarction,Coronary Heart Disease,194802003
G307.00,Acute subendocardial infarction,Coronary Heart Disease,70422006
G307000,Acute non-Q wave infarction,Coronary Heart Disease,307140009
G307100,Acute non-ST segment elevation myocardial infarction,Coronary Heart Disease,401314000
G308.00,Inferior myocardial infarction NOS,Coronary Heart Disease,73795002
G309.00,Acute Q-wave infarct,Coronary Heart Disease,304914007
G30A.00,Mural thrombosis,Coronary Heart Disease,91335003
G30B.00,Acute posterolateral myocardial infarction,Coronary Heart Disease,15990001
G30X.00,Acute transmural myocardial infarction of unspecif site,Coronary Heart Disease,57054005
G30X000,Acute ST segment elevation myocardial infarction,Coronary Heart Disease,401303003
G30y.00,Other acute myocardial infarction,Coronary Heart Disease,57054005
G30y000,Acute atrial infarction,Coronary Heart Disease,194809007
G30y100,Acute papillary muscle infarction,Coronary Heart Disease,10273003
G30y200,Acute septal infarction,Coronary Heart Disease,79009004
G30yz00,Other acute myocardial infarction NOS,Coronary Heart Disease,57054005
G30z.00,Acute myocardial infarction NOS,Coronary Heart Disease,57054005
G31..00,Other acute and subacute ischaemic heart disease,Coronary Heart Disease,414545008
G310.00,Postmyocardial infarction syndrome,Coronary Heart Disease,66189004
G310.11,Dressler's syndrome,Coronary Heart Disease,66189004
G311.00,Preinfarction syndrome,Coronary Heart Disease,4557003
G311.11,Crescendo angina,Coronary Heart Disease,4557003
G311.12,Impending infarction,Coronary Heart Disease,25106000
G311.14,Angina at rest,Coronary Heart Disease,59021001
G311011,MI - Myocardial infarction aborted,Coronary Heart Disease,194821006
G311100,Unstable angina,Coronary Heart Disease,4557003
G311200,Angina at rest,Coronary Heart Disease,59021001
G311300,Refractory angina,Coronary Heart Disease,315025001
G311400,Worsening angina,Coronary Heart Disease,4557003
G311500,Acute coronary syndrome,Coronary Heart Disease,394659003
G311z00,Preinfarction syndrome NOS,Coronary Heart Disease,4557003
G312.00,Coronary thrombosis not resulting in myocardial infarction,Coronary Heart Disease,194821006
G31y.00,Other acute and subacute ischaemic heart disease,Coronary Heart Disease,414545008
G31y000,Acute coronary insufficiency,Coronary Heart Disease,194823009
G31y100,Microinfarction of heart,Coronary Heart Disease,42531007
G31y200,Subendocardial ischaemia,Coronary Heart Disease,46109009
G31y300,Transient myocardial ischaemia,Coronary Heart Disease,315026000
G31yz00,Other acute and subacute ischaemic heart disease NOS,Coronary Heart Disease,414545008
G32..00,Old myocardial infarction,Coronary Heart Disease,1755008
G32..11,Healed myocardial infarction,Coronary Heart Disease,1755008
G32..12,Personal history of myocardial infarction,Coronary Heart Disease,399211009
G33..00,Angina pectoris,Coronary Heart Disease,194828000
G330.00,Angina decubitus,Coronary Heart Disease,59021001
G330000,Nocturnal angina,Coronary Heart Disease,35928006
G330z00,Angina decubitus NOS,Coronary Heart Disease,59021001
G331.00,Prinzmetal's angina,Coronary Heart Disease,87343002
G331.11,Variant angina pectoris,Coronary Heart Disease,87343002
G332.00,Coronary artery spasm,Coronary Heart Disease,23687008
K531000,Corpus luteum cyst unspecified,Corpus Luteum cyst,386762009
K531.00,Corpus luteum cyst,Corpus Luteum cyst,386762009
K531z00,Corpus luteum cyst NOS,Corpus Luteum cyst,386762009
K531200,Corpus luteum cyst rupture,Corpus Luteum cyst,87597001
K531100,Corpus luteum cyst haemorrhage,Corpus Luteum cyst,95599002
C370z00,Cystic fibrosis NOS,Cystic Fibrosis,190905008
C370y00,Cystic fibrosis with other manifestations,Cystic Fibrosis,190905008
C370900,Exacerbation of cystic fibrosis,Cystic Fibrosis,859041000000103
C370700,Liver disease due to cystic fibrosis,Cystic Fibrosis,427022004
C370400,Arthropathy in cystic fibrosis,Cystic Fibrosis,526071000000104
C370300,Cystic fibrosis with intestinal manifestations,Cystic Fibrosis,190909002
C370200,Cystic fibrosis with pulmonary manifestations,Cystic Fibrosis,86555001
C370111,Meconium ileus in cystic fibrosis,Cystic Fibrosis,86092005
C370100,Cystic fibrosis with meconium ileus,Cystic Fibrosis,86092005
C370000,Cystic fibrosis with no meconium ileus,Cystic Fibrosis,81423003
